timestamp_str,SFN,SFN_p,Slot,Slot_p,CC,CC_p,HARQ,HARQ_p,MCS,MCS_p,CRC,CRC_p,ReTx,ReTx_p,NDI,NDI_p,threshold,anomaly_score,distance_from_threshold
160.csv;08:10:21.413-2024/12/05;100;0,100,118,0,2,0,0,13,12,30,30,1,1,3,3,0,0,0.015417639557754822,0.01647957,0.0010619308608414459
136.csv;18:49:20.600-2024/01/16;123;0,123,6,0,0,0,0,5,6,31,32,1,1,2,2,0,0,0.015417639557754822,0.01647926,0.0010616197991015243
160.csv;09:34:15.876-2024/12/05;763;1,763,650,1,3,0,0,7,7,31,31,0,0,4,4,1,1,0.015417639557754822,0.016478045,0.0010604053544642257
160.csv;08:40:14.551-2024/12/05;214;0,214,160,0,0,0,0,5,5,29,32,1,1,2,2,1,1,0.015417639557754822,0.01647747,0.0010598297971131133
101.csv;10:07:57.117-2024/09/06;199;8,199,170,8,8,1,1,13,13,24,30,1,1,2,2,0,0,0.015417639557754822,0.016474146,0.0010565068381668853
157.csv;04:04:22.256-2024/10/29;236;6,236,254,6,6,1,1,11,10,29,31,1,1,3,3,0,0,0.015417639557754822,0.016470337,0.001052697728836708
160.csv;09:10:16.393-2024/12/05;174;10,174,141,10,10,0,0,1,2,30,32,1,1,2,2,0,0,0.015417639557754822,0.016466757,0.001049117724859886
160.csv;08:38:42.082-2024/12/05;183;0,183,242,0,3,0,0,15,13,28,31,1,1,4,4,1,1,0.015417639557754822,0.016464433,0.0010467931437136459
160.csv;07:30:58.394-2024/12/05;341;15,341,317,15,14,0,0,9,10,30,32,1,1,3,3,1,1,0.015417639557754822,0.016464079,0.001046439241135292
101.csv;09:58:22.268-2024/09/06;58;15,58,37,15,13,0,0,15,15,31,29,1,1,2,2,1,1,0.015417639557754822,0.01646373,0.0010460909264923858
160.csv;09:10:54.388-2024/12/05;901;15,901,766,15,10,0,0,2,5,29,30,1,1,4,4,1,1,0.015417639557754822,0.016462618,0.001044978927338295
157.csv;04:14:07.903-2024/10/29;433;5,433,326,5,6,1,1,14,14,12,23,1,1,1,1,0,0,0.015417639557754822,0.016461654,0.0010440140771509933
160.csv;08:02:11.171-2024/12/05;227;12,227,169,12,12,0,0,9,10,30,32,1,1,2,2,0,0,0.015417639557754822,0.016458556,0.0010409164982678222
158.csv;08:19:32.668-2024/12/06;437;0,437,403,0,2,0,0,3,5,28,30,1,1,3,3,1,1,0.015417639557754822,0.016456233,0.0010385937797667312
157.csv;04:04:21.354-2024/10/29;146;5,146,241,5,6,1,1,13,11,28,29,1,1,4,4,0,0,0.015417639557754822,0.016454887,0.0010372470873238372
160.csv;09:01:00.531-2024/12/05;907;16,907,802,16,13,0,0,1,4,28,32,1,1,3,3,1,1,0.015417639557754822,0.016454343,0.0010367031949402618
160.csv;07:45:41.834-2024/12/05;621;15,621,648,15,12,0,0,2,4,29,32,1,1,3,3,0,0,0.015417639557754822,0.016451076,0.0010334361153485107
157.csv;04:04:21.959-2024/10/29;207;0,207,273,0,4,1,1,12,10,28,29,1,1,4,4,1,1,0.015417639557754822,0.01644971,0.0010320707964541244
160.csv;07:16:27.114-2024/12/05;253;4,253,276,4,4,1,1,4,5,30,28,1,1,2,2,0,0,0.015417639557754822,0.016445933,0.001028293352091484
160.csv;09:31:26.776-2024/12/05;236;15,236,311,15,10,0,0,15,13,29,30,1,1,4,4,0,0,0.015417639557754822,0.016445044,0.0010274048703553008
160.csv;08:55:07.035-2024/12/05;374;10,374,381,10,10,0,0,8,9,30,33,1,1,3,3,1,1,0.015417639557754822,0.01644467,0.0010270304786803054
124.csv;19:30:44.698-2024/02/13;805;10,805,854,10,10,0,0,4,4,31,31,1,1,2,2,1,1,0.015417639557754822,0.016444527,0.0010268870550038146
158.csv;08:11:34.018-2024/12/06;700;0,700,629,0,3,0,0,10,10,29,32,1,1,4,4,1,1,0.015417639557754822,0.01644235,0.0010247096228243636
160.csv;09:17:08.514-2024/12/05;426;10,426,461,10,8,0,0,5,7,30,31,0,0,4,4,0,0,0.015417639557754822,0.016440047,0.0010224073934199142
158.csv;08:11:33.838-2024/12/06;682;0,682,603,0,3,0,0,7,8,30,30,0,0,4,4,0,0,0.015417639557754822,0.01643416,0.0010165195721031951
160.csv;07:54:01.678-2024/12/05;430;5,430,465,5,6,0,0,0,2,29,31,1,1,3,3,0,0,0.015417639557754822,0.016432246,0.001014606635534935
158.csv;08:03:22.776-2024/12/06;728;0,728,639,0,3,0,0,5,7,30,31,0,0,4,4,1,1,0.015417639557754822,0.01642782,0.0010101809906603622
160.csv;07:55:10.109-2024/12/05;105;10,105,44,10,10,0,0,4,4,30,33,1,1,2,2,1,1,0.015417639557754822,0.016427165,0.0010095253395678329
157.csv;04:18:02.212-2024/10/29;312;3,312,334,3,5,1,1,13,11,31,30,1,1,4,4,0,0,0.015417639557754822,0.016421666,0.001004026811087303
158.csv;08:09:45.990-2024/12/06;137;5,137,134,5,3,0,0,2,2,29,31,1,1,2,2,0,0,0.015417639557754822,0.01642116,0.0010035201716067123
160.csv;08:38:42.028-2024/12/05;177;16,177,131,16,12,0,0,2,4,28,28,0,0,3,3,0,0,0.015417639557754822,0.016420873,0.0010032333242537307
155.csv;03:42:50.194-2024/10/29;54;0,54,228,0,3,1,1,11,10,29,28,1,1,4,4,1,1,0.015417639557754822,0.01641973,0.001002089660132103
160.csv;07:22:53.581-2024/12/05;1012;6,1012,784,6,6,0,0,5,7,28,30,0,0,4,4,1,1,0.015417639557754822,0.016414955,0.000997315700614624
160.csv;06:51:43.374-2024/12/05;359;5,359,443,5,5,0,0,9,8,28,31,0,0,4,4,0,0,0.015417639557754822,0.016409617,0.000991977359616928
160.csv;09:10:13.587-2024/12/05;917;17,917,770,17,11,0,0,12,10,30,29,1,1,4,4,0,0,0.015417639557754822,0.016408976,0.0009913366096855926
160.csv;09:26:19.218-2024/12/05;201;2,201,300,2,3,0,0,5,6,29,33,0,0,3,3,0,0,0.015417639557754822,0.01640811,0.0009904704796912002
160.csv;06:50:06.920-2024/12/05;954;0,954,947,0,-1,0,0,7,8,30,30,1,1,2,2,0,0,0.015417639557754822,0.016405728,0.0009880881565453338
157.csv;04:04:21.351-2024/10/29;146;2,146,292,2,4,1,0,9,8,28,30,1,1,4,4,1,1,0.015417639557754822,0.016402794,0.000985154490435295
160.csv;07:44:42.119-2024/12/05;794;1,794,769,1,0,0,0,4,5,28,30,1,1,2,2,0,0,0.015417639557754822,0.016397448,0.0009798086988570022
160.csv;07:46:18.292-2024/12/05;171;10,171,87,10,10,0,0,4,4,30,32,1,1,2,2,1,1,0.015417639557754822,0.01639585,0.000978210549318962
160.csv;09:26:18.746-2024/12/05;153;15,153,119,15,12,0,0,6,7,30,31,1,1,3,3,0,0,0.015417639557754822,0.016393913,0.0009762733983637618
158.csv;08:04:40.146-2024/12/06;272;15,272,299,15,11,0,0,15,12,30,28,1,1,4,4,0,0,0.015417639557754822,0.016389208,0.0009715683567168044
160.csv;09:26:16.146-2024/12/05;917;17,917,786,17,14,0,0,15,13,29,30,1,1,3,3,0,0,0.015417639557754822,0.016389007,0.0009713671910406875
155.csv;03:42:50.104-2024/10/29;45;0,45,49,0,4,1,1,15,13,11,17,0,0,2,2,0,0,0.015417639557754822,0.016385749,0.0009681094246746826
160.csv;07:53:30.653-2024/12/05;399;15,399,420,15,13,0,0,2,4,30,31,0,0,3,3,1,1,0.015417639557754822,0.01638142,0.0009637806373478698
136.csv;18:52:15.516-2024/01/16;206;11,206,253,11,11,0,0,9,9,10,20,1,1,3,3,1,1,0.015417639557754822,0.016377883,0.0009602434742094802
160.csv;09:17:37.561-2024/12/05;259;5,259,309,5,4,0,0,5,6,30,31,0,0,4,4,1,1,0.015417639557754822,0.016377542,0.000959902610147171
158.csv;08:12:04.422-2024/12/06;668;13,668,621,13,11,0,0,3,5,29,32,0,0,3,3,1,1,0.015417639557754822,0.016374985,0.0009573451983572769
